game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long
2025-1181-1104,1181,1104,2025,1,2,W01,W02,1,2,W,W,R4W1,newark,40.7242,-74.1726,Duke,Alabama,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,59.66754156,34.99491353,71.62954279,10.08230453,48.7654321,30.79847909,70.43363995,12.24846894,46.23706491,35.11348465,54.09356725,43.71069182,0.07893204937,0.1018223437,66.5794,65.7236,124.282,127.954,93.0646,89.7987,76.2512,74.8544,118.725,126.511,106.121,96.5793,36.00159,-78.94226,33.2144,-87.545766
2025-1181-1458,1181,1458,2025,1,3,W01,W03,1,3,W,W,R4W1,newark,40.7242,-74.1726,Duke,Wisconsin,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,54.71521942,34.90945674,82.78335725,6.105100464,46.83153014,33.01204819,72.31543624,10.83099907,48.13559322,39.07721281,54.87674169,49.31818182,0.07508543042,0.0684480443,66.5794,65.7236,124.282,127.954,93.0646,89.7987,68.6302,67.5868,115.828,122.015,102.263,96.0401,36.00159,-78.94226,43.073858,-89.405356
2025-1181-1112,1181,1112,2025,1,4,W01,W04,1,4,W,W,R3W1,newark,40.7242,-74.1726,Duke,Arizona,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,55.14433753,32.40223464,78.43915344,12.0362737,47.23825227,33.6,71.42857143,6.735751295,34.63957426,41.90613027,56.70419652,53.17185698,0.1089991939,0.0906939858,66.5794,65.7236,124.282,127.954,93.0646,89.7987,70.2006,69.8553,115.408,122.539,102.537,96.8145,36.00159,-78.94226,32.232071,-110.950769
2025-1181-1332,1181,1332,2025,1,5,W01,W05,1,5,W,W,R3W1,newark,40.7242,-74.1726,Duke,Oregon,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,53.03030303,34.00267738,76.31578947,10.07252216,49.95970991,31.71390013,72.13114754,8.754208754,38.60465116,37.3864783,54.41176471,50.29239766,0.1030877174,0.08736247236,66.5794,65.7236,124.282,127.954,93.0646,89.7987,68.6042,67.5961,110.017,116.63,102.377,96.4841,36.00159,-78.94226,44.044515,-123.07398
2025-1181-1140,1181,1140,2025,1,6,W01,W06,1,6,W,W,R4W1,newark,40.7242,-74.1726,Duke,BYU,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,58.64440079,37.07983193,70.53872054,9.756097561,49.34333959,34.7826087,70.61946903,8.447937132,48.3248731,44.3922796,59.78947368,52.06812652,0.1035649832,0.09522712437,66.5794,65.7236,124.282,127.954,93.0646,89.7987,67.7804,67.2231,117.204,123.001,102.804,100.608,36.00159,-78.94226,40.250851,-111.649281
2025-1181-1388,1181,1388,2025,1,7,W01,W07,1,7,W,W,R4W1,newark,40.7242,-74.1726,Duke,St Mary's CA,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,51.81674566,32.64984227,69.51423786,10.37037037,45.8436214,31.22743682,74.71783296,7.187993681,33.36842105,31.31712832,57.12630359,54.10958904,0.09723918886,0.08111409724,66.5794,65.7236,124.282,127.954,93.0646,89.7987,63.4672,61.674,114.861,115.275,95.9112,92.1853,36.00159,-78.94226,29.451793,-98.564307
2025-1181-1280,1181,1280,2025,1,8,W01,W08,1,8,W,W,R2W1,raleigh,35.7806,-78.6389,Duke,Mississippi St,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,55.16956162,31.37697517,69.98491704,14.09774436,50.09398496,36.10451306,69.48148148,8.602150538,42.29116945,44.17628541,53.33333333,53.1660693,0.1306529424,0.08681544197,66.5794,65.7236,124.282,127.954,93.0646,89.7987,69.7482,68.1184,113.152,118.738,105.036,98.6329,36.00159,-78.94226,33.425002,-88.879658
2025-1181-1124,1181,1124,2025,1,9,W01,W09,1,9,W,W,R2W1,raleigh,35.7806,-78.6389,Duke,Baylor,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,51.22377622,34.67532468,74.57912458,8.19047619,49.80952381,35.40802213,69.86531987,11.01398601,40.22988506,40.77834179,53.45838218,59.82028241,0.1109992272,0.0866449664,66.5794,65.7236,124.282,127.954,93.0646,89.7987,65.4265,64.5147,113.197,120.81,104.882,99.6652,36.00159,-78.94226,31.545956,-97.119359
2025-1181-1435,1181,1435,2025,1,10,W01,W10,1,10,W,W,R4W1,newark,40.7242,-74.1726,Duke,Vanderbilt,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,53.59256128,32.53768844,74.73997028,11.36974038,51.47717099,36.92077728,72.02295552,11.41166526,40.22233451,37.45800672,50.05599104,47.32360097,0.1281667498,0.08160097566,66.5794,65.7236,124.282,127.954,93.0646,89.7987,70.2044,69.4434,113.04,117.932,106.248,101.771,36.00159,-78.94226,36.14443,-86.804875
2025-1181-1433,1181,1433,2025,1,11,W01,W11,1,11,W,W,R4W1,newark,40.7242,-74.1726,Duke,VA Commonwealth,58.01457195,37.71929825,78.4496124,10.58244463,43.39622642,30.87248322,71.54308617,9.653916211,45.37313433,37.93279022,58.10397554,51.38339921,0.1042540973,0.0803993462,54.17475728,33.54908306,74.48494453,15.57659208,43.63166954,30.59936909,71.9568567,7.669902913,47.36842105,35.30066815,56.50172612,46.07703281,0.1237207187,0.098248806,66.5794,65.7236,124.282,127.954,93.0646,89.7987,66.3663,66.0864,115.109,116.302,94.1108,95.6956,36.00159,-78.94226,37.547631,-77.453597
